"PRODUCT_ID","PRODUCT_NAME","PRODUCT_CATEGORY","PRODUCT_TYPE","PRODUCT_VALUE","PRODUCT_DESC","SYS_CODE","NET_TYPE","UPDATE_TIME","PROVINCE_CODE","DEAL_TYPE","START_DATE","END_DATE","PRODUCT_MODE","PRODUCT_TYPE_CODE","PRODUCT_NICK_NAME","BUSINESS_TAG","BUSINESS_TAG_DESC","BUSINESS_GROUP","PRODUCT_OBJ_TYPE","REMARK","EFFECT_TAG"
"90157639","哔哩哔哩33卡","16","4GBLBL","33","哔哩哔哩33卡:月费（元）33（按天扣费），套餐包含定向流量：哔哩哔哩视频及直播流量全免，国内流量2GB，国内接听免费；套餐超出及其他业务收费：国内语音0.1元/分钟，短彩信0.1元/条；省内流量：默认开通“流量日租宝”功能1元/500MB省内流量（当日有效，不足10M按0.1元/M计费），用完自动叠加，按量计费；省外流量：2元/500M省外流量（当日有效，不足20M按0.1元/M计费），用完自动叠加，按量计费，赠送来显。","2","2","2017/3/13 11:05:46","98","1","2017/3/1 11:16:37","2050/12/31 23:59:59","00","4G000001","哔哩哔哩33卡","","","","0","","1"
"90157638","哔哩哔哩22卡","16","4GBLBL","22","哔哩哔哩22卡:月费（元）22（按天扣费），套餐包含定向流量：哔哩哔哩视频及直播流量全免，国内流量1GB，国内接听免费；套餐超出及其他业务收费：国内语音0.1元/分钟，短彩信0.1元/条，省内流量：默认开通“流量日租宝”功能1元/500MB省内流量（当日有效，不足10M按0.1元/M计费），用完自动叠加，按量计费；省外流量：2元/500M省外流量（当日有效，不足20M按0.1元/M计费），用完自动叠加，按量计费，赠送来显。","2","2","2017/3/13 11:05:14","98","1","2017/3/1 10:49:08","2050/12/31 23:59:59","00","4G000001","哔哩哔哩22卡","","","","0","","1"
"90157799","哔哩哔哩小电视卡","16","4GBLBL","66","哔哩哔哩小电视卡:月费（元）66（按天扣费），套餐包含定向流量：哔哩哔哩视频及直播流量全免，国内流量4GB，国内语音200分钟，国内接听免费；套餐超出及其他业务收费：国内语音0.1元/分钟，短彩信0.1元/条；省内流量：默认开通“流量日租宝”功能1元/500MB省内流量（当日有效，不足10M按0.1元/M计费），用完自动叠加，按量计费；省外流量：2元/500M省外流量（当日有效，不足20M按0.1元/M计费），用完自动叠加，按量计费，赠送来显。","2","2","2017/3/13 11:06:14","98","1","2017/3/2 16:00:21","2050/12/31 23:59:59","00","4G000001","哔哩哔哩小电视卡","","","","0","","1"
"90199660","大满卡","16","4GYMM","96","大满卡-96元/月, 月租96元，套餐包含： 5GB 国内流量，800分钟国内语音，国内接听免费，赠送来电显示；（套外）：国内流量超出后10元/GB（当月有效、自动续订）语音0.1元/分钟，短、彩信0.1元/条。","2","2","2016/12/28 18:49:52","98","0","2016/12/28 18:49:52","2049/12/31","00","","","","","","0","","1"
"90201356","小满卡","16","4GYMM","56","小满卡-56元/月,月租56元，套餐包含： 2GB国内流量，400分钟国内语音，国内接听免费，赠送来电显示；（套外）：国内流量超出后10元/GB（当月有效、自动续订），语音0.1元/分钟，短、彩信0.1元/条。","2","2","2017/2/28 10:10:12","98","0","2017/2/27 10:11:59","2050/12/31","00","","","","","","0","","1"
"90201357","懂我卡plus","16","4GTT","56","月费：56元，套餐包含：国内语音200分钟，国内流量4GB，国内接听免费；套餐超出及其他业务收费部分：国内流量10元/GB（当月有效，自动续订），国内短/彩信0.1元/条，赠送来电显示。","2","2","2017/4/20 9:57:21","98","1","2017/4/13 14:50:23","2050/12/31 23:59:59","00","4G000001","懂我卡plus","","","","0","","1"
"90199605","懂我卡","16","4GTT","26","月费：26元，套餐包含：国内流量2GB，国内接听免费；套餐超出及其他业务收费部分：国内流量10元/GB（当月有效，自动续订），国内短/彩信0.1元/条，赠送来电显示。","2","2","2017/4/20 9:57:00","98","1","2017/4/13 10:57:39","2050/12/31 23:59:59","00","4G000001","懂我卡","","","","0","","1"
"90155361","美团小美卡","16","4GMT","36","美团小美卡：月租36元，套内：100分钟国内语音，2GB国内流量，国内接听免费，赠送来电显示；套外：国内语音0.1元/分钟，国内流量10元/GB（自动续订），短彩信0.1元/条。","2","2","2017/2/21 10:02:49","98","1","2017/2/15 11:39:47","2050/12/31 23:59:59","00","4G000001","美团小美卡","","","","0","","1"
"90155336","美团大美卡","16","4GMT","96","美团大美卡：月租96元，套内：600分钟国内语音，6GB国内流量，国内接听免费，赠送来电显示；套外：国内语音0.1元/分钟，国内流量10元/GB（自动续订），短彩信0.1元/条。","2","2","2017/2/21 10:05:29","98","1","2017/2/15 11:11:47","2050/12/31 23:59:59","00","4G000001","美团大美卡","","","","0","","1"
"90155482","畅淘卡","16","4GTQ","56","淘气卡56元：套餐内含国内流量3GB，国内语音300分钟，含来电显示；套餐超出及其他业务收费：国内语音0.1元/分钟，短彩信0.1元/分钟，套外流量超出后10元/GB（当月有效、自动叠加）。","2","2","2017/2/21 15:35:10","98","1","2017/2/15 16:25:11","2050/12/31 23:59:59","00","4G000001","淘气卡","","","","0","","1"
